# t_days flux
1.325666655400475292e+03 1.361120625000000000e+05
1.325668044308884191e+03 1.360264062500000000e+05
1.325669433217758524e+03 1.360027187500000000e+05
1.325670822126168105e+03 1.360511093750000000e+05
1.325672211034577458e+03 1.359455937500000000e+05
1.325673599943451109e+03 1.359406406250000000e+05
1.325674988851859553e+03 1.360416093750000000e+05
1.325676377760269133e+03 1.358947968750000000e+05
1.325677766668677350e+03 1.359972500000000000e+05
1.325679155577551455e+03 1.360529062500000000e+05
1.325680544485960809e+03 1.359798281250000000e+05
1.325681933394369707e+03 1.360235937500000000e+05
1.325683322302778606e+03 1.359411406250000000e+05
1.325684711211187050e+03 1.360340312500000000e+05
1.325686100119596404e+03 1.359376093750000000e+05
1.325687489028470964e+03 1.360002187500000000e+05
1.325688877936878953e+03 1.359394375000000000e+05
1.325690266845288306e+03 1.359346093750000000e+05
1.325691655753697205e+03 1.359315000000000000e+05
1.325693044662105649e+03 1.359489375000000000e+05
1.325694433570515230e+03 1.359863750000000000e+05
1.325695822478923446e+03 1.359850625000000000e+05
1.325697211387331890e+03 1.359246875000000000e+05
1.325698600295741244e+03 1.360059062500000000e+05
1.325699989204149233e+03 1.359325156250000000e+05
1.325701378112558132e+03 1.359614531250000000e+05
1.325702767020967485e+03 1.360018906250000000e+05
1.325704155929376839e+03 1.360476250000000000e+05
1.325705544837785737e+03 1.359839062500000000e+05
1.325706933746193727e+03 1.360021718750000000e+05
1.325708322654603080e+03 1.359851875000000000e+05
1.325709711563011979e+03 1.359757500000000000e+05
1.325711100471419968e+03 1.360498593750000000e+05
1.325712489379829321e+03 1.360079062500000000e+05
1.325713878288237993e+03 1.359938906250000000e+05
1.325715267196646664e+03 1.359935468750000000e+05
1.325716656105056018e+03 1.359645000000000000e+05
1.325718045013464007e+03 1.360119062500000000e+05
1.325719433921872906e+03 1.359217656250000000e+05
1.325720822830282259e+03 1.359829531250000000e+05
1.325722211738225496e+03 1.359657968750000000e+05
1.325723600646633940e+03 1.360177968750000000e+05
1.325724989555042839e+03 1.360253593750000000e+05
1.325726378463451510e+03 1.359635781250000000e+05
1.325727767371860182e+03 1.359671875000000000e+05
1.325729156280269081e+03 1.360197968750000000e+05
1.325730545188212773e+03 1.359935468750000000e+05
1.325731934096621217e+03 1.359703750000000000e+05
1.325733323005029433e+03 1.359745312500000000e+05
1.325734711913439014e+03 1.359362968750000000e+05
1.325736100821381797e+03 1.359857500000000000e+05
1.325737489729789786e+03 1.359616875000000000e+05
1.325738878638199367e+03 1.360852968750000000e+05
1.325740267546608948e+03 1.360145156250000000e+05
